id;ordered_qty;received_qty;unit_price;note;created_by;created_date;last_modified_by;last_modified_date;product_category_id;order_id
a37737c5-b577-4ddd-aa3f-2fd0ee505fba;5432;5893;17068.8;disillusion oddly;round;2024-08-21T07:07:25;level triumph doubtfully;2024-08-20T09:45:21;1370ce3f-61f1-46e8-8239-658286eca867;ca49b61c-6d77-472d-8cc6-690bfff04cb1
b13b3b76-d55a-40c6-85e5-1a5c54ebb372;19848;6748;24438.16;with usable hastily;hmph versus of;2024-08-21T04:36:56;why;2024-08-20T16:22:57;0df64e3b-d51d-47ad-bdf5-19d26c4f20f6;434fc7e0-3ada-48bf-a261-85a77bb38f38
d947a644-feca-4012-8ad3-8a7d09cb52f0;16041;24460;22063.71;eek observation;readily;2024-08-20T23:58:03;willing;2024-08-21T03:45:29;9e3a662a-d8bd-4474-b493-ffba56e9316d;18005c3d-45f6-4cdc-b3fe-cc4f95ae3c5c
806adff4-accc-4c67-a888-75a94c7aa1be;32212;13558;18088.47;pish;entire fake;2024-08-20T09:47:41;beyond pfft yippee;2024-08-20T22:43:30;5f555272-41b1-4a2c-9472-6caedf88c8b7;075d24ab-36c3-4fb4-a6d4-0524b8e1f2c0
0c90a5c8-2e4d-4cb2-9aca-e64a50f086ba;6457;4954;5499.8;loftily;huzzah ha;2024-08-21T05:09:30;wingman;2024-08-20T19:28:43;672ebf38-8a67-4098-933b-341a3d42887a;f47a759d-3690-4d91-a4f1-6aa9f150b654
70748a02-6d89-4631-ac7d-f22c64e82400;27595;26963;12084.22;ranch;sharply;2024-08-20T09:18:17;briskly statin;2024-08-20T09:04:03;88600bd2-998f-41b7-93e7-b68950d58b21;5882088b-052b-46ed-81c1-80249d590fe6
5ef65e81-dd96-4120-aa8a-c0dc997d3174;28499;29074;9591.95;alongside;reef mock;2024-08-21T05:06:10;phew;2024-08-21T06:11:27;0e73fe02-cfc0-402d-9d87-5ae84273356d;f6a0bdce-501d-462e-9424-d27e703ff6c0
7a5ca0a4-681b-4bc8-9ff1-8244f2f471c2;12779;18918;2830.49;after poker uh-huh;overcoat gyro outside;2024-08-21T04:03:01;positively yesterday;2024-08-21T02:43:44;5bb36c1d-3ea4-4a7a-a747-75816e5ad845;c6b306ee-d6a9-43a7-9d48-2a4fa64d4bd1
a903840c-4236-4a4f-80ca-40ca17dc8781;20070;14423;12227.5;yowza;underwire given considering;2024-08-20T22:38:11;likely broken furthermore;2024-08-20T17:58:59;de8d63fb-afcf-4860-a847-9b3cc5eb9554;36204fe9-ae5a-4990-872d-dab2a216233a
1e7b401b-336b-425c-92e3-f42698a7008f;17870;8181;15596.69;fearful reaffirm;aw admirable honest;2024-08-20T11:57:42;wilted ah what;2024-08-20T22:29:12;fa464e30-6e44-45e1-9ea8-c1a3b096b5d9;ea568830-04a9-4ec0-a644-f3b2cd93bd8e
