id;status;note;other_info;created_by;created_date;last_modified_by;last_modified_date;shipment_id
c8ff56c4-105d-4d17-8a51-8afa61466dd2;COMPLETED;provided;disastrous round;while pointless furthermore;2024-08-21T06:31:09;vampire donor reinstate;2024-08-20T15:01:48;d0eddb11-0108-45db-9170-414fbc0ea32c
1c3ad706-cedf-4d57-bcfd-f117ea11ad69;COMPLETED;tedious pastel spy;enclosure pasta;sure-footed why trim;2024-08-21T02:47:45;fast banish yourself;2024-08-20T14:28:30;dcbb4fb4-46ba-467e-a9f8-299eae579cf8
85388c55-78b6-4c76-995d-28793c99e815;OTHER;why;near swiftly;punctually;2024-08-21T01:04:48;psst;2024-08-20T17:08:58;03aea226-2d25-496c-adf0-7fc53b3a733f
e7e66ec3-94f6-463c-9109-ccc901a13fc5;ASSIGNED;amazon oddly;ouch diam;furthermore;2024-08-21T02:42:12;inasmuch;2024-08-21T00:18:51;5cc0f1ee-3e54-418b-a5f5-60e9fe9c8bd1
8c865dfd-0f72-4806-bd05-fdc2b1271269;ASSIGNED;blah;yuck uh-huh nor;whenever yippee gently;2024-08-20T19:29:38;anenst crib descriptive;2024-08-20T20:55:19;7014f7e9-cd58-4120-b3ae-3cd22ebd2f48
bdb29738-0965-4dd4-9ebd-e9c3ae67bbd0;PENDING;psst inasmuch;jangle what although;likewise flail unwrap;2024-08-20T19:28:19;honestly;2024-08-21T06:25:35;ddf687e7-50fb-4b04-baf9-69a06fb9ea91
ae65324d-c176-44f5-ac38-dc0b75aa9dd9;IN_PROGRESS;miter;direction;blaring scribble;2024-08-20T10:47:16;vastly till gah;2024-08-20T12:40:22;3fa29151-d0f8-4154-976e-bf0b053c6dc1
e2972fb5-029f-4581-9b37-a61e61f7d55e;ASSIGNED;ugh as;athwart wearily wholly;although always mid;2024-08-21T02:06:39;since that overtax;2024-08-21T08:13:29;006f2049-d89c-43a1-bcf9-7269f9fd6397
5437b08b-6a80-4f36-8102-b1a64dd47d5a;COMPLETED;polite;modulo yearningly during;rosin;2024-08-20T16:13:03;a consciousness efficacy;2024-08-21T04:41:07;714ebdbc-27cb-485b-8bd6-9d323acebaf6
a229b7a1-75f7-4697-8930-46d2eac11e7f;ASSIGNED;notwithstanding;comprise retreat aha;joyful until;2024-08-21T07:57:54;when whittle;2024-08-20T23:55:51;16bc4aec-be4f-454e-8852-a2df66aa4f31
